label,child talk,parent talk
negative_talk,,are you really going to act like that right now
question,,what do you want me to do
reflection,i'm drawing a house,it is a house
reflection,i'm drawing,you 're drawing
question,i drew an animal,you drew an animal
negative_talk,,that was an idiotic thing to do
negative_talk,,ha ha (sarcastic tone)
behavior_description,,you are cleaning up really fast
neutral_talk,,you aren t letting me out
reflection,i'm driving the car fast,the car is going very fast
negative_talk,,do n't jump off the table
behavior_description,,you re putting the other arm
question,,how about a yellow one
unlabelled_praise,,good girl
neutral_talk,,this blue one is my favorite
command,,put it in the box
behavior_description,,you 're going to make the window blue
reflection,i am going to build a tall building,you are going to build a tall building
behavior_description,,you 're sitting on the floor
neutral_talk,,yep there it is
labelled_praise,,nice job being quiet
command,,if you stay in your seat i 'll read winnie the pooh
question,,what do you want to play with next
negative_talk,,you are embarrassing me
neutral_talk,,yeah
command,no,now we gotta put blocks in the box
negative_talk,child coloring sun orange,i like yellow suns
question,the baking needs that you have to stop putting vegetables in it,you have to stop putting vegetables in the baking
behavior_description,,you 're digging through the blocks
behavior_description,,you put all the cars back
labelled_praise,,i love playing with you
labelled_praise,,i'm proud of you for staying in the lines
command,,you have to call your grandmother on saturday
question,,how many animals do you have
question,,are you building a castle
neutral_talk,,i am building a house
reflection,i got a bullseye,you sure did get the bullseye
reflection,vroom vroom says the car,vroom vroom
reflection,this car is my favorite,you really like that car
question,where s the police car,uh
reflection,it 's really tall,really tall
question,,do you like those cars
behavior_description,,you re looking for some eyes
negative_talk,duckie,you messed up the whole thing
behavior_description,for both of us,"oh , we get to share"
behavior_description,i should have one,you are calling the dolly jessica
question,,what s that
question,,you want to play blocks
behavior_description,,you 're coloring the bunny pink
neutral_talk,i drew a man,i'm going to draw a hat on him
command,i have all the crayons,please hand me a blue one
neutral_talk,,you 're not using the long ones for this fort
negative_talk,i 've got an orange,that 's not an orange
reflection,i need to color this part,you think you should color that part
labelled_praise,,you are being so nice to your sister
command,,please put the cow by the horse
neutral_talk,yeah,i forget what his name is
reflection,vroom,vroom
neutral_talk,,this is the playroom
neutral_talk,oh,the mr potato head is nice
neutral_talk,the gators won,that makes me so happy
labelled_praise,,that was nice to say
labelled_praise,,thank you for handing me the box
neutral_talk,,i'm going to start coloring
question,,see anymore little baby ones
neutral_talk,,i wonder what 's for lunch
behavior_description,,you 're making the trains go on the tracks
neutral_talk,,green is my favorite color
labelled_praise,,but it is a really good picture
question,,whatcha got there
command,,i think you should put it away
command,,you better mind
behavior_description,,you dress up the doll
neutral_talk,i think the silver is car is gonna drink all of,ooh
question,,do you know what this letter is called
behavior_description,,you took turns
reflection,i got to go potty,you got to go potty
reflection,frosted cookie,frosted cookies
neutral_talk,,this car is red
negative_talk,,and shut up
question,,you 're driving fast are n't you
question,,remember when we went to the farm
behavior_description,,you picked up the toy
reflection,"oh , great","oh , great"
reflection,ball,yes ball
neutral_talk,"yeah , cuz he s done",ok
behavior_description,,you 're putting the green block on
reflection,beep beep,beep beep
labelled_praise,,great job staying in your chair today
question,,where does this one go
neutral_talk,yeah,that s pretty high
question,,is n't red your favorite color
labelled_praise,,violet that looks so fantastic
behavior_description,,putting everything back in the box
command,,can you sit
reflection,,repeating counting
neutral_talk,,tomorrow we can go to the pool
neutral_talk,yeah,huh
neutral_talk,,i want to play with the blocks
labelled_praise,,it 's fun to play with you
behavior_description,,you grabbed a different block
command,,let me do it
negative_talk,,you 're being ugly
behavior_description,,the tower you 're building is getting tall
negative_talk,mrs brown said we 're hicks,where does she get off
negative_talk,,apologize or you 'll have to sit on the step
command,yellow ones,you can color it purple
question,no the biggest truck on in great wolf lodge,oh
question,,do you know what this is called
command,,tell her thank you
neutral_talk,,i have a bear
command,,would you get down
behavior_description,,you are putting the toys away quietly
command,,will you try and color it red
negative_talk,,quit running
negative_talk,,you are n't being nice
reflection,i like potatoes,potatoes are good
question,,what do you want for dinner
command,,sit down with me
question,,what is that man 's name
question,,ketchup
reflection,what time is it,you want to know what time it is
negative_talk,put the chimney on next,i 'll do it when i'm good and ready
