Speaker,Utterance
child,i love these blocks
parent,you love those blocks
parent,you 're a good girl for playing while i was busy
parent,that 's an amazing tower
child,this is a picture for you
parent,you 're making me a picture
parent,you are not doing that right
parent,moving potato head s arm hi violet
child,i'm going to share my straws with amy
parent,with amy
child,how many dollars
parent,birds can fly
parent,hand me the blue block
child,i do n't want to play with the car wash
parent,you do n't want to play with the car wash
parent,i like that book
parent,you did an excellent job writing your name
parent,put the flowers here and remember to get them before we leave
parent,do n't color like that
parent,can you put this on here
parent,you took it off
parent,daddy will be so proud that you listened today
parent,what are you going to do next
child,a mouth
parent,you are putting the blue block on top
parent,you are playing with the potato head
parent,how many cars do you see
parent,you made it go up the ramp last time
parent,what letter is that
parent,thank you so so much
child,hmm
parent,hmm
parent,you 're connecting them
parent,it 's time for us to leave
parent,you make up silly games
parent,you figured out how to work that toy
parent,i do n't know where she went
parent,you are the best at coloring
parent,give me the yellow crayon
parent,quit whining
parent,i'm having so much fun playing with you
parent,give me some of those
parent,you are going to draw a picture
parent,clean up the toys
parent,please pick up the toys and put them in the bin
child,yeah
parent,yeah
parent,you put the yellow block on the red block
parent,hmm what is this (talks to self)
child,i m getting some out
parent,mhmm
child,free
parent,good job putting the crayons neatly in the box
parent,oh dear
parent,this is how you make the toy work
child,i'm making it square
parent,yes you 're making it square
parent,thanks for finding so many ears
parent,you are not as nice as your sister
child,the man goes in the barn
parent,the farmer goes in the barn
parent,eric eric eric
child,do n't take that one
parent,i wo n't take that one
parent,would you stack the blocks
parent,"here , put it on your plate"
child,we are having a splendid tea party
parent,we are having a splendid tea party
child,somebody made a mess
parent,it is messy in here
parent,thanks for putting the toys away
parent,that 's some good safe hands
child,there
parent,ahhh
child,im only kidding
parent,correct
parent,you 're looking for something
parent,i colored that faster than you
parent,color this tree green while i color the bike red
parent,we can get mcdonald 's after this
child,that s tough
parent,that is tough
parent,i need shows one finger
child,sue back soon
parent,if you quit being so rude i will share the pink marker with you
parent,that 's good
parent,you added another piece
child,cause it has tramped in the fire
parent,that 's an apple
child,can i have some gum
parent,yes you can have some gum
parent,sure
child,here you go hands parent toy
parent,that was very nice
parent,maybe that s true
parent,sit on your bottom
child,where does this go
parent,there
parent,thanks for helping me clean
child,child is putting away the toys
parent,good job cleaning
child,i dont want to color
parent,you 're doing a great job with that are n't you
parent,never do this again otherwise i will hit your hand
child,i have a lazy susan at my house
parent,oh
parent,thanks for handing this to me
parent,what do you think you 're doing
parent,you are looking at all the toys
child,child made a drawing and gives it to caregiver
parent,thank you for my present
parent,i 'd like you to comb your hair
parent,you can do it
parent,that 's a dog
parent,i found a peach flavored cupcake
parent,how 'bout we try it this way
child,there 's the little chair in there
parent,a chair
parent,will you please pick up the toys
parent,i'm going to build a tower too
parent,i do remember going to dairy queen this weekend
parent,can you catch those
parent,both of us are using our inside voices
parent,why do n't you fix his eyes
parent,you 're moving the toy
parent,there are a lot of toys in this room
parent,i need you to play with me
parent,get the green block
parent,thank you so much for giving me the green hat
parent,you 're smarter than that
parent,i like picnics
parent,i like how you drew the moon
child,what 's a roller
parent,it 's what you use to roll out dough and make pizzas
child,i did it
parent,you did it
parent,i like the way you stacked the blocks together
parent,i like the way you 're working
parent,good job sitting down
parent,you 're a good girl for working on your letters
parent,i do n't like when you talk like that
parent,i like to color with crayons
parent,that train is going fast
parent,i want you to stop being a pest and bugging me to go home
child,do you like my drawing
parent,you did not stay in the lines you could have done better
child,we don t use them in the baking
parent,you re not going to use them in the baking
parent,you are keeping your hands to yourself
child,child picks up a tiger
parent,that tiger is fierce and scary
parent,look i found the red one
parent,do you want to take out the blocks
parent,you 're putting the blue block on the red block
parent,how about drawing a horse in your picture
parent,no standing on the chair
parent,put that back in my purse
parent,hand me that piece
parent,you 're building it with all the colors
parent,what are their names
parent,where is your bike
child,but the tank
parent,i don t think we have a police car
child,tomorrow is a holiday
parent,tomorrow you get to visit grandma
parent,the cow is eating the food
parent,you re kidding me
parent,thank you for sitting so nicely in your chair
